 ,genotype,time_off_food,food,date,plate,length_mm,start_frame,end_frame,frames,frame rate (fps),speed_mm/sec,time_sec,manual_bends,mm_per_bend,note
JB,N2,5,OP50,6/30/2022,1,0.596,,,9,4,0.264888889,2.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.841,,,11,4,0.305818182,2.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.255,518,534,16,4,0.31375,4,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.259,578,595,17,4,0.296235294,4.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.694,647,662,15,4,0.185066667,3.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,0.745,761,770,9,4,0.331111111,2.25,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.881,845,875,30,4,0.2508,7.5,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.048,928,943,15,4,0.279466667,3.75,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.123,1005,1019,14,4,0.320857143,3.5,,,extra time off food/getting used to new setup
JB,N2,5,OP50,6/30/2022,1,1.488,1053,1073,20,4,0.2976,5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.107,115,132,17,4,0.260470588,4.25,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,2.092,201,227,26,4,0.321846154,6.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.679,265,291,26,4,0.258307692,6.5,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.619,339,363,24,4,0.269833333,6,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.312,391,414,23,4,0.228173913,5.75,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.244,577,594,17,4,0.292705882,4.25,,,extra time off food/getting used to new setup
JB,cest-1.2,5,OP50,6/30/2022,2,1.59,617,655,38,4,0.167368421,9.5,,,extra time off food/getting used to new setup
